OBJECTID,date_,time_value_ms,time_uncertainty,latitude_value,longitude_value,depth_value,magnitude_value_M,quality_associatedPhaseCount,quality_usedPhaseCount,quality_associatedStationCount,quality_usedStationCount,quality_standardError,quality_azimuthalGap,quality_maximumDistance,quality_minimumDistance,quality_medianDistance,Tiempo
17,13/2/16 09:19,562.590.000.000.000.000.000,1.046.704.690.000.000,-1.361.174.580.000.000,-80.879.165.650.000.000,12.000.000.000.000.000,3.985.493.460.000.000,68.000.000.000.000.000,55.000.000.000.000.000,66.000.000.000.000.000,54.000.000.000.000.000,0.83000924,225.421.386.700.000.000,3.717.291.590.000.000,0.51624244,2.549.847.360.000.000,13/2/16 09:19
18,14/2/16 17:25,724.380.000.000.000.000.000,0.60314431,-0.79729861,-79.890.380.859.999.800,62.726.867.679.999.800,3.685.563.170.000.000,59.000.000.000.000.000,40.000.000.000.000.000,56.000.000.000.000.000,39.000.000.000.000.000,0.39437647,119.794.448.900.000.000,2.174.816.370.000.000,0.43952015,1.482.287.170.000.000,14/2/16 17:25
19,14/2/16 21:58,987.793.000.000.000.000.000,0.3964086,-2.011.428.360.000.000,-79.813.224.790.000.000,54.628.334.049.999.900,3.627.583.560.000.000,39.000.000.000.000.000,36.000.000.000.000.000,36.000.000.000.000.000,33.000.000.000.000.000,0.65861502,169.548.339.800.000.000,2.487.409.350.000.000,0.33015794,1.643.200.400.000.000,14/2/16 21:58
20,15/2/16 02:13,191.062.000.000.000.000.000,0.96019493,-1.344.033.120.000.000,-80.928.771.970.000.000,3.642.760.990.000.000,4.425.984.770.000.000,48.000.000.000.000.000,48.000.000.000.000.000,47.000.000.000.000.000,47.000.000.000.000.000,0.64818372,225.654.720.300.000.000,3.747.141.600.000.000,1.074.545.260.000.000,2.562.512.870.000.000,15/2/16 02:13
21,16/2/16 12:16,833.077.000.000.000.000.000,0.29644564,-2.211.333.510.000.000,-79.753.112.790.000.000,40.075.988.770.000.000,3.971.089.970.000.000,49.000.000.000.000.000,39.000.000.000.000.000,44.000.000.000.000.000,35.000.000.000.000.000,0.78603484,130.622.650.099.998.000,2.326.636.550.000.000,0.22622831,1.565.487.740.000.000,16/2/16 12:16
22,24/2/16 01:28,877.213.000.000.000.000.000,1.010.139.620.000.000,-1.676.064.730.000.000,-80.936.851.500.000.000,12.000.000.000.000.000,3.990.082.710.000.000,49.000.000.000.000.000,38.000.000.000.000.000,47.000.000.000.000.000,38.000.000.000.000.000,0.74136286,221.752.584.500.000.000,3.405.732.870.000.000,1.378.014.210.000.000,2.649.832.250.000.000,24/2/16 01:28
23,1/3/2016 14:16,863.969.000.000.000.000.000,1.124.787.580.000.000,-0.96435225,-80.965.972.899.999.800,7.000.000.000.000.000,3.525.917.990.000.000,34.000.000.000.000.000,22.000.000.000.000.000,31.000.000.000.000.000,20.000.000.000.000.000,1.018.188.050.000.000,271.950.698.900.000.000,3.516.946.080.000.000,0.78617764,2.492.153.410.000.000,1/3/2016 14:16
24,4/3/2016 10:07,358.745.000.000.000.000.000,0.53001836,0.24287735,-80.050.888.060.000.000,4.287.724.970.000.000,4.085.665.730.000.000,52.000.000.000.000.000,52.000.000.000.000.000,51.000.000.000.000.000,51.000.000.000.000.000,0.70825945,188.144.416.799.998.000,3.765.427.830.000.000,0.41762936,1.829.963.800.000.000,4/3/2016 10:07
25,4/3/2016 11:25,431.948.000.000.000.000.000,0.57188413,-1.241.566.660.000.000,-80.427.978.519.999.800,5.955.482.480.000.000,4.842.567.390.000.000,94.000.000.000.000.000,60.000.000.000.000.000,90.000.000.000.000.000,59.000.000.000.000.000,0.7362322,188.508.712.800.000.000,2.607.848.410.000.000,0.84934521,2.047.047.140.000.000,4/3/2016 11:25
26,6/3/2016 0:54,43.539.000.000.000.000.000,0.40737799,-1.413.405.180.000.000,-80.445.587.160.000.000,7.175.813.200.000.000,5.462.246.540.000.000,110.000.000.000.000.000,96.000.000.000.000.000,101.000.000.000.000.000,90.000.000.000.000.000,1.097.383.350.000.000,190.419.720.700.000.000,3.410.950.660.000.000,0.80553126,2.206.746.340.000.000,6/3/2016 0:54
